pc,x,y,block,street_name,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1 ROOM,2 ROOM,3 ROOM,4 ROOM,5 ROOM,EXECUTIVE,MULTI GENERATION,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,town
823172,103.912259,1.395617,172,BEDOK STH RD,12.0,1985.0,Y,N,N,Y,N,N,BD,88.0,0.0,0.0,0.0,48.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BEDOK
560173,103.836147,1.375341,172,BISHAN ST 13,8.0,1986.0,Y,N,N,N,N,N,BH,98.0,0.0,0.0,0.0,64.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BISHAN
570173,103.854188,1.347825,172,BT BATOK WEST AVE 8,25.0,1984.0,Y,N,N,N,N,N,BB,144.0,0.0,0.0,0.0,48.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUKIT BATOK
650173,103.740905,1.34618,172,GANGSA RD,22.0,1996.0,Y,N,N,N,N,N,BP,126.0,0.0,0.0,0.0,84.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUKIT PANJANG
670173,103.766786,1.379922,172,HOUGANG AVE 1,13.0,1996.0,Y,N,N,N,N,N,HG,114.0,0.0,0.0,0.0,90.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOUGANG
530173,103.888775,1.3502040000000002,172,LOR 1 TOA PAYOH,25.0,1994.0,Y,N,N,N,N,N,TP,69.0,0.0,0.0,0.0,21.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOA PAYOH
310173,103.842275,1.330027,172,WOODLANDS ST 13,13.0,1984.0,Y,N,N,Y,N,N,WL,94.0,0.0,0.0,0.0,92.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,WOODLANDS
140173,,,,,,,,,,,,,,,,,,,,,,,,,,,
730173,103.77726,1.433327,172,YISHUN AVE 7,13.0,1986.0,Y,Y,N,N,N,N,YS,112.0,0.0,0.0,56.0,48.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YISHUN
760173,103.831062,1.437011,172A,EDGEDALE PLAINS,18.0,2003.0,Y,N,N,Y,N,N,PG,120.0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUNGGOL
821173,103.90937,1.397022,172A,LOR 1 TOA PAYOH,6.0,1993.0,Y,Y,N,N,N,N,TP,35.0,0.0,0.0,0.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOA PAYOH
822173,103.909928,1.396534,172B,EDGEDALE PLAINS,18.0,2003.0,Y,N,N,Y,N,N,PG,126.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUNGGOL
823173,103.910547,1.396164,172C,EDGEDALE PLAINS,18.0,2003.0,Y,N,N,Y,N,N,PG,126.0,0.0,0.0,0.0,29.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUNGGOL
824173,103.911025,1.39596,173,ANG MO KIO AVE 4,13.0,1981.0,Y,Y,N,N,N,N,AMK,168.0,0.0,0.0,24.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ANG MO KIO
560174,103.837486,1.375177,173,BISHAN ST 13,21.0,1986.0,Y,N,N,N,N,N,BH,76.0,0.0,0.0,0.0,0.0,68.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,BISHAN
570174,103.854299,1.34822,173,BT BATOK WEST AVE 8,4.0,1984.0,Y,N,N,N,N,N,BB,24.0,0.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUKIT BATOK
640174,103.709374,1.346267,173,GANGSA RD,20.0,1996.0,Y,N,N,N,N,N,BP,114.0,0.0,0.0,0.0,76.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUKIT PANJANG
650174,103.741107,1.345501,173,HOUGANG AVE 1,14.0,1996.0,Y,N,N,N,N,N,HG,91.0,0.0,0.0,0.0,65.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOUGANG
670174,103.766239,1.3802219999999998,173,LOR 1 TOA PAYOH,12.0,1972.0,Y,N,N,Y,N,N,TP,219.0,0.0,0.0,217.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TOA PAYOH
310174,103.841928,1.330706,173,WOODLANDS ST 13,10.0,1984.0,Y,Y,N,N,N,N,WL,129.0,0.0,0.0,0.0,54.0,74.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,WOODLANDS
730174,103.778091,1.433362,173,YISHUN AVE 7,12.0,1986.0,Y,Y,N,Y,N,N,YS,132.0,0.0,0.0,0.0,92.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YISHUN
760174,103.832007,1.43733,173A,PUNGGOL FIELD,17.0,2002.0,Y,N,N,Y,N,N,PG,160.0,0.0,0.0,0.0,32.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUNGGOL
821174,103.911318,1.39641,173B,PUNGGOL FIELD,17.0,2001.0,Y,N,N,N,N,N,PG,82.0,0.0,0.0,0.0,24.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUNGGOL
531174,103.888626,1.349727,173C,PUNGGOL FIELD,17.0,2001.0,Y,N,N,N,N,N,PG,82.0,0.0,0.0,0.0,24.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUNGGOL
