	addr	pc
291	"('108C', 'MCNAIR RD', 'KALLANG/WHAMPOA')"	324108
292	"('109', 'ALJUNIED CRES', 'GEYLANG')"	380109
293	"('109', 'ANG MO KIO AVE 4', 'ANG MO KIO')"	560109
294	"('109', 'BEDOK NTH RD', 'BEDOK')"	460109
295	"('109', 'BEDOK RESERVOIR RD', 'BEDOK')"	470109
296	"('109', 'BISHAN ST 12', 'BISHAN')"	570109
297	"('109', 'BT BATOK WEST AVE 6', 'BUKIT BATOK')"	650109
298	"('109', 'BT PURMEI RD', 'BUKIT MERAH')"	90109
299	"('109', ""C'WEALTH CRES"", 'QUEENSTOWN')"	140109
300	"('109', 'CLEMENTI ST 11', 'CLEMENTI')"	120109
301	"('109', 'GANGSA RD', 'BUKIT PANJANG')"	670109
302	"('109', 'HOUGANG AVE 1', 'HOUGANG')"	530109
303	"('109', 'JLN BT MERAH', 'BUKIT MERAH')"	160109
304	"('109', 'JURONG EAST ST 13', 'JURONG EAST')"	600109
305	"('109', 'LENGKONG TIGA', 'BEDOK')"	410109
306	"('109', 'LOR 1 TOA PAYOH', 'TOA PAYOH')"	310109
307	"('109', 'MCNAIR RD', 'KALLANG/WHAMPOA')"	320109
308	"('109', 'PASIR RIS ST 11', 'PASIR RIS')"	510109
309	"('109', 'POTONG PASIR AVE 1', 'TOA PAYOH')"	350109
310	"('109', 'RIVERVALE WALK', 'SENGKANG')"	540109
311	"('109', 'SERANGOON NTH AVE 1', 'SERANGOON')"	550109
312	"('109', 'SIMEI ST 1', 'TAMPINES')"	520109
313	"('109', 'SPOTTISWOODE PK RD', 'BUKIT MERAH')"	80109
314	"('109', 'TAMPINES ST 11', 'TAMPINES')"	521109
315	"('109', 'TECK WHYE LANE', 'CHOA CHU KANG')"	680109
316	"('109', 'WHAMPOA RD', 'KALLANG/WHAMPOA')"	321109
317	"('109', 'WOODLANDS ST 13', 'WOODLANDS')"	730109
318	"('109', 'YISHUN RING RD', 'YISHUN')"	760109
